epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3618,1.29689,1.8266,0.83611,0.00074,0.00398,0.00037,0.00029,1.53047,inf,0.87654,0.000405983,0.000405983,0.000405983
2,77.3644,1.19253,0.77558,0.81717,0.20986,0.49291,0.20276,0.11246,nan,nan,nan,0.000814505,0.000814505,0.000814505
3,110.533,1.25376,0.70158,0.81916,0.73071,0.58298,0.60296,0.3358,1.34996,0.70312,0.83514,0.00121478,0.00121478,0.00121478
4,148.848,1.26653,0.6721,0.82924,0.7723,0.61123,0.66252,0.38139,1.20261,0.69498,0.81385,0.00121287,0.00121287,0.00121287
5,181.393,1.15731,0.60596,0.81491,0.85059,0.58673,0.66691,0.38565,1.07025,0.68832,0.81113,0.0012005,0.0012005,0.0012005
6,213.407,1.18996,0.6075,0.8102,0.77373,0.63353,0.67185,0.39293,1.11587,0.60661,0.80936,0.00118812,0.00118812,0.00118812
7,245.508,1.14634,0.58613,0.81158,0.86563,0.58735,0.66779,0.41571,0.99868,0.53879,0.80559,0.00117575,0.00117575,0.00117575
8,278.152,1.07369,0.54603,0.8024,0.82593,0.70459,0.74299,0.48015,0.94437,0.52284,0.80032,0.00116337,0.00116337,0.00116337
9,311.033,1.06037,0.53476,0.80358,0.88505,0.63702,0.73854,0.4483,1.01394,0.50421,0.80365,0.001151,0.001151,0.001151
10,342.793,1.02807,0.51849,0.80095,0.82448,0.6504,0.74668,0.43048,1.02126,0.56134,0.81096,0.00113863,0.00113863,0.00113863
11,375.227,1.00754,0.52158,0.79975,0.84982,0.67908,0.7456,0.47216,1.00413,0.50519,0.80031,0.00112625,0.00112625,0.00112625
12,407.354,1.01395,0.50369,0.79997,0.89565,0.61727,0.73541,0.46824,0.92002,0.51256,0.79434,0.00111388,0.00111388,0.00111388
13,439.239,1.0375,0.514,0.79974,0.84902,0.63831,0.73995,0.48123,0.93422,0.52172,0.79942,0.0011015,0.0011015,0.0011015
14,471.623,1.02842,0.51018,0.80038,0.83379,0.59105,0.70271,0.40164,1.10322,0.54526,0.80625,0.00108913,0.00108913,0.00108913
15,504.246,1.00932,0.49481,0.7979,0.91385,0.73599,0.77528,0.50981,0.87726,0.45015,0.79748,0.00107675,0.00107675,0.00107675
16,536.294,0.9575,0.47086,0.79293,0.87959,0.68525,0.75225,0.49643,0.91156,0.48317,0.7937,0.00106437,0.00106437,0.00106437
17,568.015,0.97866,0.47415,0.79441,0.81167,0.72844,0.76499,0.50171,0.90365,0.49155,0.7933,0.001052,0.001052,0.001052
18,600.502,1.04434,0.49599,0.79692,0.93956,0.71821,0.79876,0.5234,0.91795,0.45093,0.79626,0.00103962,0.00103962,0.00103962
19,632.787,0.95104,0.46146,0.7922,0.95886,0.70161,0.7898,0.53383,0.89111,0.46854,0.79585,0.00102725,0.00102725,0.00102725
20,666.006,0.94163,0.45114,0.79072,0.8826,0.74487,0.79018,0.52738,0.85299,0.45287,0.79147,0.00101488,0.00101488,0.00101488
